id,offering_id,subject_code,term,type,title,max_marks,weightage_pct,due_date,status
69,18,24CV101T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-13,graded
70,18,24CV101T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-04,scheduled
71,18,24CV101T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-13,scheduled
72,19,24ME101P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-21,graded
73,19,24ME101P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-08,scheduled
74,20,24ME101P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-20,graded
75,20,24ME101P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-06,scheduled
76,21,24ME102P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-22,graded
77,21,24ME102P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-06,scheduled
78,22,24ME102P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-21,graded
79,22,24ME102P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-07,scheduled
80,23,24CP101T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-02,graded
81,23,24CP101T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-11,graded
82,23,24CP101T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-23,graded
83,23,24CP101T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-11,graded
84,23,24CP101T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-02,scheduled
85,23,24CP101T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-17,scheduled
86,24,24CP101P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-20,graded
87,24,24CP101P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-07,scheduled
88,25,24CP101P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-19,graded
89,25,24CP101P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-07,scheduled
90,26,24HS102T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-03,graded
91,26,24HS102T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-09,graded
92,26,24HS102T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-23,graded
93,26,24HS102T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-13,graded
94,26,24HS102T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-04,scheduled
95,26,24HS102T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-17,scheduled
96,27,24HS103T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-02,graded
97,27,24HS103T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-10,graded
98,27,24HS103T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-25,graded
99,27,24HS103T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-14,graded
100,27,24HS103T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-02,scheduled
101,27,24HS103T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-13,scheduled
102,28,24INT151,2026-27-ODD,Term-Work,Term Work Evaluation,100,100,2026-10-03,scheduled
103,29,24IT201T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-04,graded
104,29,24IT201T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-08,graded
105,29,24IT201T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-24,graded
106,29,24IT201T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-15,graded
107,29,24IT201T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-02,scheduled
108,29,24IT201T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-15,scheduled
109,30,24IT202T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-03,graded
110,30,24IT202T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-08,graded
111,30,24IT202T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-25,graded
112,30,24IT202T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-12,graded
113,30,24IT202T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-03,scheduled
114,30,24IT202T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-14,scheduled
115,31,24IT202P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-19,graded
116,31,24IT202P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-08,scheduled
117,32,24IT202P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-22,graded
118,32,24IT202P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-10,scheduled
119,33,24IT203T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-02,graded
120,33,24IT203T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-10,graded
121,33,24IT203T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-21,graded
122,33,24IT203T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-15,graded
123,33,24IT203T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-01,scheduled
124,33,24IT203T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-14,scheduled
125,34,24IT203P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-21,graded
126,34,24IT203P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-07,scheduled
127,35,24IT203P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-21,graded
128,35,24IT203P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-09,scheduled
129,36,24IT204T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-01,graded
130,36,24IT204T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-09,graded
131,36,24IT204T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-24,graded
132,36,24IT204T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-12,graded
133,36,24IT204T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-04,scheduled
134,36,24IT204T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-15,scheduled
135,37,24IT205T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-06-30,graded
136,37,24IT205T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-10,graded
137,37,24IT205T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-23,graded
138,37,24IT205T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-15,graded
139,37,24IT205T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-01,scheduled
140,37,24IT205T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-14,scheduled
141,38,24MA202T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-06-30,graded
142,38,24MA202T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-11,graded
143,38,24MA202T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-23,graded
144,38,24MA202T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-14,graded
145,38,24MA202T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-05,scheduled
146,38,24MA202T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-15,scheduled
147,39,24HS101T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-04,graded
148,39,24HS101T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-07,graded
149,39,24HS101T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-22,graded
150,39,24HS101T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-13,graded
151,39,24HS101T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-04,scheduled
152,39,24HS101T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-14,scheduled
153,40,24MA101T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-01,graded
154,40,24MA101T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-11,graded
155,40,24MA101T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-25,graded
156,40,24MA101T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-15,graded
157,40,24MA101T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-02,scheduled
158,40,24MA101T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-15,scheduled
159,41,24PH102T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-06-30,graded
160,41,24PH102T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-09,graded
161,41,24PH102T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-24,graded
162,41,24PH102T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-15,graded
163,41,24PH102T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-03,scheduled
164,41,24PH102T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-17,scheduled
165,42,24PH102P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-22,graded
166,42,24PH102P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-08,scheduled
167,43,24PH102P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-21,graded
168,43,24PH102P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-07,scheduled
169,44,24CV101T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-03,graded
170,44,24CV101T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-11,graded
171,44,24CV101T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-21,graded
172,44,24CV101T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-13,graded
173,44,24CV101T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-05,scheduled
174,44,24CV101T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-14,scheduled
175,45,24ME101P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-19,graded
176,45,24ME101P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-10,scheduled
177,46,24ME101P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-21,graded
178,46,24ME101P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-07,scheduled
179,47,24BT102T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-01,graded
180,47,24BT102T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-08,graded
181,47,24BT102T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-25,graded
182,47,24BT102T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-12,graded
183,47,24BT102T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-04,scheduled
184,47,24BT102T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-15,scheduled
185,48,24CP101T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-06-30,graded
186,48,24CP101T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-09,graded
187,48,24CP101T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-22,graded
188,48,24CP101T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-15,graded
189,48,24CP101T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-04,scheduled
190,48,24CP101T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-16,scheduled
191,49,24CP101P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-19,graded
192,49,24CP101P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-06,scheduled
193,50,24CP101P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-21,graded
194,50,24CP101P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-07,scheduled
195,51,24HS102T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-06-30,graded
196,51,24HS102T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-10,graded
197,51,24HS102T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-24,graded
198,51,24HS102T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-14,graded
199,51,24HS102T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-02,scheduled
200,51,24HS102T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-15,scheduled
201,52,24HS103T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-06-30,graded
202,52,24HS103T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-08,graded
203,52,24HS103T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-21,graded
204,52,24HS103T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-12,graded
205,52,24HS103T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-01,scheduled
206,52,24HS103T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-17,scheduled
207,53,24INT151,2026-27-ODD,Term-Work,Term Work Evaluation,100,100,2026-09-30,scheduled
208,54,24EC201T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-01,graded
209,54,24EC201T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-08,graded
210,54,24EC201T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-25,graded
211,54,24EC201T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-15,graded
212,54,24EC201T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-05,scheduled
213,54,24EC201T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-15,scheduled
214,55,24EC202T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-03,graded
215,55,24EC202T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-11,graded
216,55,24EC202T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-21,graded
217,55,24EC202T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-11,graded
218,55,24EC202T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-02,scheduled
219,55,24EC202T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-14,scheduled
220,56,24EC202P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-19,graded
221,56,24EC202P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-08,scheduled
222,57,24EC202P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-20,graded
223,57,24EC202P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-07,scheduled
224,58,24EC203T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-04,graded
225,58,24EC203T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-07,graded
226,58,24EC203T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-25,graded
227,58,24EC203T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-14,graded
228,58,24EC203T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-03,scheduled
229,58,24EC203T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-16,scheduled
230,59,24EC203P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-21,graded
231,59,24EC203P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-09,scheduled
232,60,24EC203P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-21,graded
233,60,24EC203P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-10,scheduled
234,61,24EC204T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-01,graded
235,61,24EC204T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-10,graded
236,61,24EC204T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-22,graded
237,61,24EC204T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-11,graded
238,61,24EC204T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-01,scheduled
239,61,24EC204T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-14,scheduled
240,62,24MA201T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-02,graded
241,62,24MA201T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-11,graded
242,62,24MA201T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-24,graded
243,62,24MA201T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-11,graded
244,62,24MA201T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-02,scheduled
245,62,24MA201T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-15,scheduled
246,63,24HS101T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-06-30,graded
247,63,24HS101T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-08,graded
248,63,24HS101T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-24,graded
249,63,24HS101T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-11,graded
250,63,24HS101T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-04,scheduled
251,63,24HS101T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-15,scheduled
252,64,24MA101T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-01,graded
253,64,24MA101T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-10,graded
254,64,24MA101T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-22,graded
255,64,24MA101T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-11,graded
256,64,24MA101T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-04,scheduled
257,64,24MA101T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-14,scheduled
258,65,24PH101T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-06-30,graded
259,65,24PH101T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-08,graded
260,65,24PH101T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-24,graded
261,65,24PH101T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-12,graded
262,65,24PH101T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-04,scheduled
263,65,24PH101T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-16,scheduled
264,66,24PH101P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-20,graded
265,66,24PH101P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-06,scheduled
266,67,24PH101P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-20,graded
267,67,24PH101P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-07,scheduled
268,68,24CV101T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-04,graded
269,68,24CV101T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-11,graded
270,68,24CV101T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-21,graded
271,68,24CV101T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-13,graded
272,68,24CV101T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-04,scheduled
273,68,24CV101T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-15,scheduled
274,69,24ME101P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-21,graded
275,69,24ME101P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-10,scheduled
276,70,24ME101P,2026-27-ODD,Lab-CIE,Lab Continuous Evaluation,50,60,2026-08-22,graded
277,70,24ME101P,2026-27-ODD,Lab-Exam,Lab End Examination,50,40,2026-10-09,scheduled
278,71,24BT102T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-04,graded
279,71,24BT102T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-08,graded
280,71,24BT102T,2026-27-ODD,Internal-1,Internal Test 1,20,15,2026-07-24,graded
281,71,24BT102T,2026-27-ODD,Assignment-2,Assignment 2,10,8,2026-08-12,graded
282,71,24BT102T,2026-27-ODD,Internal-2,Internal Test 2,20,15,2026-09-03,scheduled
283,71,24BT102T,2026-27-ODD,End-Sem,End Semester Exam,100,40,2026-10-15,scheduled
284,72,24CP101T,2026-27-ODD,Quiz-1,Quiz 1,10,5,2026-07-03,graded
285,72,24CP101T,2026-27-ODD,Assignment-1,Assignment 1,10,7,2026-07-08,graded
