id,student_id,roll_no,term,amount_due,amount_paid,status,due_date,paid_on
50,25,25BIT009,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-08-17
51,26,25BIT010,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-10
52,26,25BIT010,2026-27-ODD,152500,0.0,overdue,2026-09-12,
53,27,25BEC001,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-09
54,27,25BEC001,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-06-21
55,28,25BEC002,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-09
56,28,25BEC002,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-07-18
57,29,25BEC003,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-07
58,29,25BEC003,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-09-03
59,30,25BEC004,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-14
60,30,25BEC004,2026-27-ODD,214500,122400.0,partial,2026-09-12,2026-08-12
61,31,25BEC005,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-06
62,31,25BEC005,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-09-09
63,32,25BEC006,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-10
64,32,25BEC006,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-06-25
65,33,25BME001,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-06
66,33,25BME001,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-07-12
67,34,25BME002,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-07
68,34,25BME002,2026-27-ODD,214500,0.0,unpaid,2026-09-12,
69,35,25BME003,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-09
70,35,25BME003,2026-27-ODD,152500,66100.0,partial,2026-09-12,2026-08-18
71,36,25BME004,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-10
72,36,25BME004,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-08-02
73,37,25BME005,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-04
74,37,25BME005,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-07-28
75,38,25BME006,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-11
76,38,25BME006,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-08-27
77,39,25BCE001,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-03
78,39,25BCE001,2026-27-ODD,152500,0.0,unpaid,2026-09-12,
79,40,25BCE002,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-07
80,40,25BCE002,2026-27-ODD,152500,90000.0,partial,2026-09-12,2026-07-14
81,41,25BCE003,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-04
82,41,25BCE003,2026-27-ODD,152500,51400.0,partial,2026-09-12,2026-07-23
83,42,25BCE004,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-09
84,42,25BCE004,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-08-02
85,43,25BCE005,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-07
86,43,25BCE005,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-08-20
87,44,25BCE006,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-03
88,44,25BCE006,2026-27-ODD,214500,115300.0,partial,2026-09-12,2026-08-07
89,45,25BCH001,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-08
90,45,25BCH001,2026-27-ODD,214500,0.0,unpaid,2026-09-12,
91,46,25BCH002,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-14
92,46,25BCH002,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-08-20
93,47,25BCH003,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-09
94,47,25BCH003,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-07-03
95,48,25BCH004,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-04
96,48,25BCH004,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-08-20
97,49,25BCH005,2025-26-EVEN,152500,152500.0,paid,2026-01-15,2026-01-12
98,49,25BCH005,2026-27-ODD,152500,69700.0,partial,2026-09-12,2026-07-29
99,50,25BCH006,2025-26-EVEN,214500,214500.0,paid,2026-01-15,2026-01-08
100,50,25BCH006,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-08-03
101,51,26BCP001,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-08-02
102,52,26BCP002,2026-27-ODD,214500,77200.0,partial,2026-09-12,2026-08-06
103,53,26BCP003,2026-27-ODD,152500,55000.0,partial,2026-09-12,2026-07-25
104,54,26BCP004,2026-27-ODD,152500,0.0,overdue,2026-09-12,
105,55,26BCP005,2026-27-ODD,214500,0.0,unpaid,2026-09-12,
106,56,26BCP006,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-07-27
107,57,26BCP007,2026-27-ODD,152500,66400.0,partial,2026-09-12,2026-08-13
108,58,26BCP008,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-07-16
109,59,26BCP009,2026-27-ODD,214500,0.0,unpaid,2026-09-12,
110,60,26BCP010,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-09-05
111,61,26BCP011,2026-27-ODD,214500,86500.0,partial,2026-09-12,2026-08-13
112,62,26BCP012,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-08-26
113,63,26BCP013,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-08-12
114,64,26BCP014,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-08-14
115,65,26BCP015,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-09-03
116,66,26BCP016,2026-27-ODD,152500,0.0,unpaid,2026-09-12,
117,67,26BIT001,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-08-11
118,68,26BIT002,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-07-17
119,69,26BIT003,2026-27-ODD,152500,53800.0,partial,2026-09-12,2026-07-27
120,70,26BIT004,2026-27-ODD,214500,105200.0,partial,2026-09-12,2026-08-09
121,71,26BIT005,2026-27-ODD,152500,99600.0,partial,2026-09-12,2026-07-30
122,72,26BIT006,2026-27-ODD,152500,82100.0,partial,2026-09-12,2026-07-30
123,73,26BIT007,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-07-16
124,74,26BIT008,2026-27-ODD,214500,0.0,unpaid,2026-09-12,
125,75,26BIT009,2026-27-ODD,152500,0.0,unpaid,2026-09-12,
126,76,26BIT010,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-07-08
127,77,26BEC001,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-07-18
128,78,26BEC002,2026-27-ODD,214500,104500.0,partial,2026-09-12,2026-07-12
129,79,26BEC003,2026-27-ODD,152500,50000.0,partial,2026-09-12,2026-08-20
130,80,26BEC004,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-06-27
131,81,26BEC005,2026-27-ODD,152500,92100.0,partial,2026-09-12,2026-07-23
132,82,26BEC006,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-07-06
133,83,26BME001,2026-27-ODD,214500,115600.0,partial,2026-09-12,2026-07-12
134,84,26BME002,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-06-24
135,85,26BME003,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-08-28
136,86,26BME004,2026-27-ODD,214500,0.0,overdue,2026-09-12,
137,87,26BME005,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-07-26
138,88,26BME006,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-07-10
139,89,26BCE001,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-07-14
140,90,26BCE002,2026-27-ODD,214500,0.0,overdue,2026-09-12,
141,91,26BCE003,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-06-26
142,92,26BCE004,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-07-17
143,93,26BCE005,2026-27-ODD,152500,0.0,unpaid,2026-09-12,
144,94,26BCE006,2026-27-ODD,214500,0.0,unpaid,2026-09-12,
145,95,26BCH001,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-07-22
146,96,26BCH002,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-08-07
147,97,26BCH003,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-08-10
148,98,26BCH004,2026-27-ODD,214500,214500.0,paid,2026-09-12,2026-08-07
149,99,26BCH005,2026-27-ODD,152500,0.0,unpaid,2026-09-12,
150,100,26BCH006,2026-27-ODD,152500,152500.0,paid,2026-09-12,2026-07-19
