id,offering_id,day_of_week,start_time,end_time,classroom_id,session_type
141,84,0,15:00,16:00,44,Theory
142,84,2,15:00,16:00,44,Theory
143,84,4,11:15,12:15,44,Theory
144,85,2,11:15,13:15,50,Lab
145,86,3,14:00,16:00,50,Lab
146,87,4,09:00,11:00,50,Lab
147,88,1,11:15,13:15,50,Lab
148,89,1,16:15,17:15,44,Theory
149,89,3,15:00,16:00,45,Theory
150,89,4,11:15,12:15,45,Theory
151,90,0,11:15,12:15,45,Theory
152,90,2,11:15,12:15,44,Theory
153,90,4,12:15,13:15,44,Theory
154,91,4,11:15,13:15,50,Lab
155,92,1,14:00,16:00,50,Lab
156,93,1,14:00,15:00,44,Theory
157,93,2,14:00,15:00,45,Theory
158,94,0,15:00,16:00,45,Theory
159,94,3,12:15,13:15,44,Theory
160,95,1,10:00,11:00,44,Theory
161,96,1,09:00,11:00,50,Lab
162,97,2,11:15,13:15,51,Lab
163,98,3,14:00,16:00,51,Lab
164,99,4,09:00,11:00,51,Lab
165,100,1,11:15,13:15,51,Lab
166,101,2,14:00,16:00,50,Lab
167,102,0,12:15,13:15,45,Theory
168,102,2,16:15,17:15,44,Theory
169,103,1,09:00,10:00,45,Theory
170,105,1,10:00,11:00,57,Theory
171,105,2,11:15,12:15,57,Theory
172,105,4,16:15,17:15,57,Theory
173,106,0,16:15,17:15,57,Theory
174,106,3,09:00,10:00,57,Theory
175,106,4,12:15,13:15,57,Theory
176,107,1,14:00,15:00,57,Theory
177,107,3,10:00,11:00,57,Theory
178,107,4,15:00,16:00,57,Theory
179,108,0,10:00,11:00,57,Theory
180,109,1,16:15,17:15,57,Theory
181,109,3,15:00,16:00,57,Theory
182,109,5,09:00,10:00,57,Theory
183,110,0,09:00,10:00,57,Theory
184,110,2,12:15,13:15,57,Theory
185,111,4,09:00,11:00,63,Lab
186,112,1,11:15,13:15,63,Lab
187,113,1,15:00,16:00,57,Theory
188,113,3,16:15,17:15,57,Theory
189,114,0,10:00,11:00,58,Theory
190,114,2,14:00,15:00,57,Theory
191,114,4,12:15,13:15,58,Theory
192,115,1,14:00,15:00,58,Theory
193,115,3,11:15,12:15,57,Theory
194,115,5,15:00,16:00,57,Theory
195,116,1,14:00,16:00,63,Lab
196,117,2,09:00,11:00,63,Lab
197,118,0,15:00,16:00,57,Theory
198,118,3,10:00,11:00,58,Theory
199,119,4,14:00,16:00,63,Lab
200,120,1,09:00,11:00,63,Lab
201,121,1,11:15,12:15,57,Theory
202,121,3,14:00,15:00,57,Theory
203,122,0,11:15,12:15,57,Theory
204,123,4,09:00,11:00,64,Lab
205,124,1,11:15,13:15,64,Lab
206,125,1,16:15,17:15,58,Theory
207,126,0,14:00,15:00,57,Theory
208,126,2,09:00,10:00,57,Theory
209,128,0,14:00,15:00,68,Theory
210,128,2,12:15,13:15,68,Theory
211,128,3,09:00,10:00,68,Theory
212,129,1,09:00,10:00,68,Theory
213,129,2,14:00,15:00,68,Theory
214,129,4,10:00,11:00,68,Theory
215,130,0,11:15,12:15,68,Theory
216,130,3,11:15,12:15,68,Theory
217,130,4,09:00,10:00,68,Theory
218,131,1,12:15,13:15,68,Theory
219,131,3,15:00,16:00,68,Theory
220,131,4,12:15,13:15,68,Theory
221,132,1,09:00,11:00,74,Lab
222,133,2,11:15,13:15,74,Lab
223,134,0,15:00,16:00,68,Theory
224,134,2,09:00,10:00,68,Theory
225,134,3,12:15,13:15,68,Theory
226,135,4,09:00,11:00,74,Lab
227,136,1,11:15,13:15,74,Lab
228,137,1,14:00,15:00,68,Theory
229,137,3,09:00,10:00,69,Theory
230,137,4,14:00,15:00,68,Theory
231,138,0,16:15,17:15,68,Theory
232,138,2,11:15,12:15,68,Theory
233,139,1,11:15,12:15,68,Theory
234,140,1,14:00,16:00,74,Lab
235,141,2,09:00,11:00,74,Lab
236,142,0,14:00,15:00,69,Theory
237,142,3,12:15,13:15,69,Theory
238,142,4,12:15,13:15,69,Theory
239,143,4,14:00,16:00,74,Lab
240,144,1,09:00,11:00,75,Lab
241,145,1,12:15,13:15,69,Theory
242,145,3,11:15,12:15,69,Theory
243,145,5,16:15,17:15,68,Theory
244,146,3,14:00,16:00,74,Lab
245,147,4,09:00,11:00,75,Lab
246,148,0,11:15,12:15,69,Theory
247,148,3,15:00,16:00,69,Theory
248,149,1,16:15,17:15,68,Theory
249,150,0,10:00,11:00,68,Theory
250,151,1,15:00,16:00,68,Theory
251,152,0,09:00,10:00,68,Theory
